Title,URL,Domain
The New England Journal of Medicine,https://www.nejm.org/feed,Health
Medscape,https://www.medscape.com/rss/feed,Health
Verywell Health,https://www.verywellhealth.com/rss,Health
Psych Central,https://rss.psychcentral.com/rss,Health
Women's Health Magazine,https://www.womenshealthmag.com/rss,Health
Health.com,https://www.health.com/rss,Health
Nutrition.gov,https://www.nutrition.gov/news/rss,Health
MedlinePlus,https://medlineplus.gov/rssfeeds.html,Health
Global Health Now,https://www.globalhealthnow.org/rss.xml,Health
Bloomberg,https://www.bloomberg.com/feed/podcast/,Finance
CNBC,https://www.cnbc.com/id/19770910/device/rss/rss.html,Finance
Financial Times,https://www.ft.com/rss/home/us,Finance
Reuters,https://www.reuters.com/tools/rss,Finance
MarketWatch,https://www.marketwatch.com/rss,Finance
The Wall Street Journal,https://www.wsj.com/xml/rss/3_7085.xml,Finance
Investopedia,https://www.investopedia.com/rss/,Finance
Yahoo Finance,https://finance.yahoo.com/rss/,Finance
Seeking Alpha,https://seekingalpha.com/feed.xml,Finance
Morningstar,https://www.morningstar.com/rss,Finance
NerdWallet,https://www.nerdwallet.com/feed,Finance
Motley Fool,https://www.fool.com/rss.aspx,Finance
Zero Hedge,https://www.zerohedge.com/rss.xml,Finance
The Economist,https://www.economist.com/finance-and-economics/rss.xml,Finance
Barron's,https://www.barrons.com/rss,Finance
Financial Post,https://business.financialpost.com/feed,Finance
Credit Karma,https://www.creditkarma.com/feed,Finance
The Financial Times - Markets,https://markets.ft.com/rss,Finance
CNBC - Personal Finance,https://www.cnbc.com/personal-finance/rss/,Finance
Kiplinger,https://www.kiplinger.com/rss,Finance
Harvard Business Review,https://hbr.org/rss,Business
Forbes,https://www.forbes.com/most-popular/feed/,Business
Business Insider,https://www.businessinsider.com/rss,Business
Inc.,https://www.inc.com/rss,Business
Fast Company,https://www.fastcompany.com/rss,Business
The Economist,https://www.economist.com/business/rss.xml,Business
Entrepreneur,https://www.entrepreneur.com/rss,Business
CNBC Business,https://www.cnbc.com/business/rss/,Business
Financial Times - Business,https://www.ft.com/business?format=rss,Business
Wall Street Journal - Business,https://www.wsj.com/xml/rss/3_7081.xml,Business
MarketWatch,https://www.marketwatch.com/rss,Business
Business News Daily,https://www.businessnewsdaily.com/feed,Business
Bloomberg Business News,https://www.bloomberg.com/business/feed,Business
Reuters Business,https://www.reuters.com/business/rss,Business
The Verge - Business,https://www.theverge.com/business/rss/index.xml,Business
The Guardian - Business,https://www.theguardian.com/business/rss,Business
